radius,step,vel,ax,ay,time_step,rpm_left,rpm_right,torque_left,torque_right,power_left,power_right,total_energy,steer,throttle
-6.234413965,0.5569,10.4842841,-0.41,-1.797268316,0.053117599,2059.457703,2039.031862,-0.426716625,-0.425243377,-92.0282276,-90.8009073,2.70E-06,-43.7679534,-0.105192558
-5.865102639,0.5569,10.26841751,-0.305,-1.832577765,0.054234258,2021.514544,2014.194014,-0.172604176,0.050520034,-36.53901098,10.65598373,7.11E-07,-49.54407685,-0.034864182
-5.592841163,0.5512,10.10484304,-0.205,-1.861048327,0.054548101,1997.088806,2024.711897,4.989088762,5.371974563,1043.391336,1139.005445,3.31E-05,-54.93841471,0.053558896
-5.385029618,0.5478,9.994542076,-0.175,-1.890900591,0.054809915,1978.550866,2023.491515,7.827715208,7.914891365,1621.850632,1677.161808,5.02E-05,-56.80142505,0.08586708
-5.319148936,0.5334,9.9,0,-1.878275229,0.053878788,0,0,0,0,0,0,0,0,0
-5.339028297,0.5298,10.00479877,0,-1.911109123,0.052954588,1977.828711,2007.902782,0,0,0,0,0,-55.99397514,0
-5.417118093,0.5316,10.00479877,-0.2,-1.883559766,0.053134502,1977.828711,2007.902782,5.40592487,5.76144775,1119.662932,1211.442839,3.44E-05,-55.99397514,0.058479673
-5.327650506,0.5289,9.9,0,-1.875277982,0.053424242,0,0,0,0,0,0,0,0,0
-5.561735261,0.5354,10.06573061,0.315,-1.856997358,0.053190376,2058.792746,2110.366986,68.20703659,19.92945729,14705.18283,4404.352544,0.000282345,-37.00276417,0.729439004
-6.031363088,0.5431,10.25710654,0.365,-1.778137136,0.052948655,2097.57588,2150.587803,71.70876076,22.7525438,15751.37662,5124.078277,0.000307035,-31.30875589,0.768196429
-7.178750897,0.5579,10.49447158,0.45,-1.563879406,0.053161324,2145.937336,2200.679175,74.68857063,29.33084026,16784.16738,6759.426599,0.000347669,-23.81022969,0.804355907
